yourlist:M201909028471C63D39733769F8E060B506551E123F05953	Entry	Entry name	Status	Protein names	Gene names	Organism	Length		
SOX4	Q06945	SOX4_HUMAN	reviewed	Transcription factor SOX-4	SOX4	Homo sapiens (Human)	474	Q01668	776
REXO1L1	Q8IX06	GOR_HUMAN	reviewed	Putative exonuclease GOR (EC 3.1.-.-) (Antigen GOR homolog) (RNA exonuclease 1 homolog-like 1)	REXO1L1P GOR REXO1L1	Homo sapiens (Human)	675	Q8TAX7	4589
PAQR6	Q6TCH4	PAQR6_HUMAN	reviewed	Membrane progestin receptor delta (mPR delta) (Membrane progesterone P4 receptor delta) (Membrane progesterone receptor delta) (Progesterone and adipoQ receptor family member 6) (Progestin and adipoQ receptor family member 6)	PAQR6	Homo sapiens (Human)	344	Q96AE7	55761
STK16	O75716	STK16_HUMAN	reviewed	Serine/threonine-protein kinase 16 (EC 2.7.11.1) (Myristoylated and palmitoylated serine/threonine-protein kinase) (MPSK) (Protein kinase PKL12) (TGF-beta-stimulated factor 1) (TSF-1) (Tyrosine-protein kinase STK16) (EC 2.7.10.2) (hPSK)	STK16 MPSK1 PKL12 TSF1	Homo sapiens (Human)	305	Q96HW7	92105
GNRH2	O43555	GON2_HUMAN	reviewed	Progonadoliberin-2 (Progonadoliberin II) [Cleaved into: Gonadoliberin-2 (Gonadoliberin II) (Gonadotropin-releasing hormone II) (GnRH II) (Luliberin II) (Luteinizing hormone-releasing hormone II) (LH-RH II); GnRH-associated peptide 2 (GnRH-associated peptide II)]	GNRH2	Homo sapiens (Human)	120	Q8WUG5	51310
VPS53	Q5VIR6	VPS53_HUMAN	reviewed	Vacuolar protein sorting-associated protein 53 homolog	VPS53 PP13624	Homo sapiens (Human)	699	Q8NFT8	92737
MMP13	P45452	MMP13_HUMAN	reviewed	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)	MMP13	Homo sapiens (Human)	471	Q96S97	91663
WDR44	Q5JSH3	WDR44_HUMAN	reviewed	WD repeat-containing protein 44 (Rabphilin-11)	WDR44	Homo sapiens (Human)	913	P11940	26986
TEX9	Q8N6V9	TEX9_HUMAN	reviewed	Testis-expressed protein 9	TEX9	Homo sapiens (Human)	391	Q96G46	56931
RPF1	Q9H9Y2	RPF1_HUMAN	reviewed	Ribosome production factor 1 (Brix domain-containing protein 5) (Ribosome biogenesis protein RPF1)	RPF1 BXDC5	Homo sapiens (Human)	349	Q3ZCX4	374900
IKBKB	O14920	IKKB_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB)	IKBKB IKKB	Homo sapiens (Human)	756	Q75WM6	341567
TRUB1	Q8WWH5	TRUB1_HUMAN	reviewed	Probable tRNA pseudouridine synthase 1 (EC 5.4.99.-)	TRUB1 PUS4	Homo sapiens (Human)	349	Q2TV78	11223
STAG1	Q8WVM7	STAG1_HUMAN	reviewed	Cohesin subunit SA-1 (SCC3 homolog 1) (Stromal antigen 1)	STAG1 SA1 SCC3	Homo sapiens (Human)	1258	Q5T9A4	83858
TDP1	Q9NUW8	TYDP1_HUMAN	reviewed	Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-)	TDP1	Homo sapiens (Human)	608	Q8IUR0	126003
OLFML2B	Q68BL8	OLM2B_HUMAN	reviewed	Olfactomedin-like protein 2B (Photomedin-2)	OLFML2B	Homo sapiens (Human)	750	Q96NA8	203062
SLC26A5	P58743	S26A5_HUMAN	reviewed	Prestin (Solute carrier family 26 member 5)	SLC26A5 PRES	Homo sapiens (Human)	744	Q8TEW8	117583
TLE1	Q04724	TLE1_HUMAN	reviewed	Transducin-like enhancer protein 1 (E(Sp1) homolog) (Enhancer of split groucho-like protein 1) (ESG1)	TLE1	Homo sapiens (Human)	770	Q15493	9104
OR4C6	Q8NH72	OR4C6_HUMAN	reviewed	Olfactory receptor 4C6 (Olfactory receptor OR11-138)	OR4C6	Homo sapiens (Human)	309	Q9BXT8	56163
TMPRSS15	P98073	ENTK_HUMAN	reviewed	Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain]	TMPRSS15 ENTK PRSS7	Homo sapiens (Human)	1019	Q71UM5	51065
NCAPD3	P42695	CNDD3_HUMAN	reviewed	Condensin-2 complex subunit D3 (Non-SMC condensin II complex subunit D3) (hCAP-D3)	NCAPD3 CAPD3 KIAA0056	Homo sapiens (Human)	1498	Q92833	3720
AKR1B15	C9JRZ8	AK1BF_HUMAN	reviewed	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)	AKR1B15	Homo sapiens (Human)	316	Q9Y6T7	1607
ARPP21	Q9UBL0	ARP21_HUMAN	reviewed	cAMP-regulated phosphoprotein 21 (ARPP-21) (Thymocyte cAMP-regulated phosphoprotein)	ARPP21 TARPP	Homo sapiens (Human)	812	Q5T1M5	23307
FAM135B	Q49AJ0	F135B_HUMAN	reviewed	Protein FAM135B	FAM135B C8orfK32	Homo sapiens (Human)	1406	Q13586	6786
IGHV4-59	P01825	HV459_HUMAN	reviewed	Immunoglobulin heavy variable 4-59 (Ig heavy chain V-II region NEWM)	IGHV4-59	Homo sapiens (Human)	116	Q7Z3E5	80210
KRT16	P08779	K1C16_HUMAN	reviewed	"Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)"	KRT16 KRT16A	Homo sapiens (Human)	473	Q9NTI2	51761
PPOX	O43612	OREX_HUMAN	reviewed	Orexin (Hypocretin) (Hcrt) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]	HCRT OX PPORX PPOX	Homo sapiens (Human)	131	Q8NFJ8	27319
PPOX	P50336	PPOX_HUMAN	reviewed	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)	PPOX	Homo sapiens (Human)	477	Q2TBE0	143884
USH2A	O75445	USH2A_HUMAN	reviewed	Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)	USH2A	Homo sapiens (Human)	5202	P61962	10238
CLOCK	O15516	CLOCK_HUMAN	reviewed	Circadian locomoter output cycles protein kaput (hCLOCK) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 8) (bHLHe8)	CLOCK BHLHE8 KIAA0334	Homo sapiens (Human)	846	O00548	28514
CDH10	Q9Y6N8	CAD10_HUMAN	reviewed	Cadherin-10 (T2-cadherin)	CDH10	Homo sapiens (Human)	788	Q6ZR08	201625
NIPBL	Q6KC79	NIPBL_HUMAN	reviewed	Nipped-B-like protein (Delangin) (SCC2 homolog)	NIPBL IDN3 SCC2	Homo sapiens (Human)	2804	P19525	5610
C6	P13671	CO6_HUMAN	reviewed	Complement component C6	C6	Homo sapiens (Human)	934	Q92556	9844
POU5F2	Q8N7G0	PO5F2_HUMAN	reviewed	"POU domain, class 5, transcription factor 2 (Sperm 1 POU domain transcription factor) (SPRM-1)"	POU5F2 SPRM1	Homo sapiens (Human)	328	Q3SYB3	653404
PPP1R3A	Q16821	PPR3A_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1)	PPP1R3A PP1G	Homo sapiens (Human)	1122	Q16658	6624
SUPV3L1	Q8IYB8	SUV3_HUMAN	reviewed	"ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)"	SUPV3L1 SUV3	Homo sapiens (Human)	786	Q8ND71	155038
KCNK18	Q7Z418	KCNKI_HUMAN	reviewed	Potassium channel subfamily K member 18 (TWIK-related individual potassium channel) (TWIK-related spinal cord potassium channel)	KCNK18 TRESK TRIK	Homo sapiens (Human)	384	P15586	2799
PDZD8	Q8NEN9	PDZD8_HUMAN	reviewed	PDZ domain-containing protein 8 (Sarcoma antigen NY-SAR-84/NY-SAR-104)	PDZD8 PDZK8	Homo sapiens (Human)	1154	Q7Z5G4	51125
TNKS1BP1	Q9C0C2	TB182_HUMAN	reviewed	182 kDa tankyrase-1-binding protein	TNKS1BP1 KIAA1741 TAB182	Homo sapiens (Human)	1729	Q8IZF5	165082
CHD4	Q14839	CHD4_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)	CHD4	Homo sapiens (Human)	1912	Q9NZD1	55507
PAN2	Q504Q3	PAN2_HUMAN	reviewed	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (Inactive ubiquitin carboxyl-terminal hydrolase 52) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 KIAA0710 USP52	Homo sapiens (Human)	1202	P28799	2896
"NLRP4,PAN2"	Q96MN2	NALP4_HUMAN	reviewed	"NACHT, LRR and PYD domains-containing protein 4 (Cancer/testis antigen 58) (CT58) (PAAD and NACHT-containing protein 2) (PAN2) (PYRIN and NACHT-containing protein 2) (PYRIN-containing APAF1-like protein 4) (PYPAF4) (Ribonuclease inhibitor 2)"	NLRP4 NALP4 PAN2 PYPAF4 RNH2	Homo sapiens (Human)	994	Q8NDH6	130026
PAN2	Q9HBH5	RDH14_HUMAN	reviewed	Retinol dehydrogenase 14 (EC 1.1.1.300) (Alcohol dehydrogenase PAN2) (Short chain dehydrogenase/reductase family 7C member 4)	RDH14 PAN2 SDR7C4 UNQ529/PRO1072	Homo sapiens (Human)	336	Q9BW83	11020
IL22	Q9GZX6	IL22_HUMAN	reviewed	Interleukin-22 (IL-22) (Cytokine Zcyto18) (IL-10-related T-cell-derived-inducible factor) (IL-TIF)	IL22 ILTIF ZCYTO18 UNQ3099/PRO10096	Homo sapiens (Human)	179	Q92831	8850
ZNF106	Q9H2Y7	ZN106_HUMAN	reviewed	Zinc finger protein 106 (Zfp-106) (Zinc finger protein 474)	ZNF106 SH3BP3 ZFP106 ZNF474	Homo sapiens (Human)	1883	Q9P2G3	57565
USP8	P40818	UBP8_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 8 (EC 3.4.19.12) (Deubiquitinating enzyme 8) (Ubiquitin isopeptidase Y) (hUBPy) (Ubiquitin thioesterase 8) (Ubiquitin-specific-processing protease 8)	USP8 KIAA0055 UBPY	Homo sapiens (Human)	1118	Q9P2G9	57563
KIAA0195	Q12767	TMM94_HUMAN	reviewed	Transmembrane protein 94	TMEM94 KIAA0195	Homo sapiens (Human)	1356	Q9NRM7	26524
LPHN1	O94910	AGRL1_HUMAN	reviewed	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)	ADGRL1 KIAA0821 LEC2 LPHN1	Homo sapiens (Human)	1474	Q6UY18	339398
ITCH	Q96J02	ITCH_HUMAN	reviewed	E3 ubiquitin-protein ligase Itchy homolog (Itch) (EC 2.3.2.26) (Atrophin-1-interacting protein 4) (AIP4) (HECT-type E3 ubiquitin transferase Itchy homolog) (NFE2-associated polypeptide 1) (NAPP1)	ITCH	Homo sapiens (Human)	903	P26038	4478
THOC5	Q13769	THOC5_HUMAN	reviewed	THO complex subunit 5 homolog (Functional spliceosome-associated protein 79) (fSAP79) (NF2/meningioma region protein pK1.3) (Placental protein 39.2) (PP39.2) (hTREX90)	THOC5 C22orf19 KIAA0983	Homo sapiens (Human)	683	Q9Y466	7101
PLXNB2	O15031	PLXB2_HUMAN	reviewed	Plexin-B2 (MM1)	PLXNB2 KIAA0315	Homo sapiens (Human)	1838	Q9Y5K3	9468
POLR1A	O95602	RPA1_HUMAN	reviewed	DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1) (EC 2.7.7.6) (A190) (DNA-directed RNA polymerase I largest subunit) (DNA-directed RNA polymerase I subunit A) (RNA polymerase I 194 kDa subunit) (RPA194)	POLR1A	Homo sapiens (Human)	1720	Q8WUA2	85313
MYH10	P35580	MYH10_HUMAN	reviewed	"Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)"	MYH10	Homo sapiens (Human)	1976	P52756	10181
FLT3LG	P49771	FLT3L_HUMAN	reviewed	Fms-related tyrosine kinase 3 ligand (Flt3 ligand) (Flt3L) (SL cytokine)	FLT3LG	Homo sapiens (Human)	235	O95980	8434
DNAI1	Q9UI46	DNAI1_HUMAN	reviewed	"Dynein intermediate chain 1, axonemal (Axonemal dynein intermediate chain 1)"	DNAI1	Homo sapiens (Human)	699	Q6ZNE9	285180
CCR7	P32248	CCR7_HUMAN	reviewed	C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197)	CCR7 CMKBR7 EBI1 EVI1	Homo sapiens (Human)	378	Q9H3T2	10500
MTTP	P55157	MTP_HUMAN	reviewed	Microsomal triglyceride transfer protein large subunit	MTTP MTP	Homo sapiens (Human)	894	Q8N5H7	10044
SLC17A6	Q9P2U8	VGLU2_HUMAN	reviewed	Vesicular glutamate transporter 2 (VGluT2) (Differentiation-associated BNPI) (Differentiation-associated Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 6)	SLC17A6 DNPI VGLUT2	Homo sapiens (Human)	582	Q8N370	124935
DTX3	Q8N9I9	DTX3_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase DTX3 (EC 2.3.2.27) (Protein deltex-3) (Deltex3) (RING finger protein 154) (RING-type E3 ubiquitin transferase DTX3)	DTX3 RNF154	Homo sapiens (Human)	347	Q15785	10953
GJD2	Q9UKL4	CXD2_HUMAN	reviewed	Gap junction delta-2 protein (Connexin-36) (Cx36) (Gap junction alpha-9 protein)	GJD2 GJA9	Homo sapiens (Human)	321	P55851	7351
RABEP1	Q15276	RABE1_HUMAN	reviewed	Rab GTPase-binding effector protein 1 (Rabaptin-4) (Rabaptin-5) (Rabaptin-5alpha) (Renal carcinoma antigen NY-REN-17)	RABEP1 RAB5EP RABPT5 RABPT5A	Homo sapiens (Human)	862	P62068	64854
NEURL4	Q96JN8	NEUL4_HUMAN	reviewed	Neuralized-like protein 4	NEURL4 KIAA1787	Homo sapiens (Human)	1562	P23025	7507
FLNA	P21333	FLNA_HUMAN	reviewed	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	FLNA FLN FLN1	Homo sapiens (Human)	2647	P51522	55769
FAM46B	Q96A09	TET5B_HUMAN	reviewed	Terminal nucleotidyltransferase 5B (EC 2.7.7.-)	TENT5B FAM46B	Homo sapiens (Human)	425	Q16586	6442
PTGFRN	Q9P2B2	FPRP_HUMAN	reviewed	Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315)	PTGFRN CD9P1 EWIF FPRP KIAA1436	Homo sapiens (Human)	879	Q8NBV4	84814
FAM163A	Q96GL9	F163A_HUMAN	reviewed	Protein FAM163A (Cebelin) (Neuroblastoma-derived secretory protein)	FAM163A C1orf76 NDSP	Homo sapiens (Human)	167	Q9UJX5	29945
ATG9A	Q7Z3C6	ATG9A_HUMAN	reviewed	Autophagy-related protein 9A (APG9-like 1) (mATG9)	ATG9A APG9L1	Homo sapiens (Human)	839	Q9UN70	5098
TBC1D5	Q92609	TBCD5_HUMAN	reviewed	TBC1 domain family member 5	TBC1D5 KIAA0210	Homo sapiens (Human)	795	Q16816	5260
ANK2	Q01484	ANK2_HUMAN	reviewed	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)	ANK2 ANKB	Homo sapiens (Human)	3957	Q14586	10308
SYNPO2	Q9UMS6	SYNP2_HUMAN	reviewed	Synaptopodin-2 (Genethonin-2) (Myopodin)	SYNPO2	Homo sapiens (Human)	1093	P07602	5660
RASGRF2	O14827	RGRF2_HUMAN	reviewed	Ras-specific guanine nucleotide-releasing factor 2 (Ras-GRF2) (Ras guanine nucleotide exchange factor 2)	RASGRF2 GRF2	Homo sapiens (Human)	1237	Q8IWL1	729238
CARD9	Q9H257	CARD9_HUMAN	reviewed	Caspase recruitment domain-containing protein 9 (hCARD9)	CARD9	Homo sapiens (Human)	536	Q8IWL2	653509
RBMXL2	O75526	RMXL2_HUMAN	reviewed	"RNA-binding motif protein, X-linked-like-2 (Testis-specific heterogeneous nuclear ribonucleoprotein G-T) (hnRNP G-T)"	RBMXL2 HNRNPGT	Homo sapiens (Human)	392	Q9NZJ7	23787
OR8B8	Q15620	OR8B8_HUMAN	reviewed	Olfactory receptor 8B8 (Olfactory receptor TPCR85) (Olfactory-like receptor JCG8)	OR8B8	Homo sapiens (Human)	311	Q9P0K7	26064
SLC8A3	P57103	NAC3_HUMAN	reviewed	Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)	SLC8A3 NCX3	Homo sapiens (Human)	927	O15117	2533
RTL1	A6NKG5	RTL1_HUMAN	reviewed	Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11)	RTL1 MAR1 MART1 PEG11	Homo sapiens (Human)	1358	Q96JN0	84458
MAPKBP1	O60336	MABP1_HUMAN	reviewed	Mitogen-activated protein kinase-binding protein 1 (JNK-binding protein 1) (JNKBP-1)	MAPKBP1 JNKBP1 KIAA0596	Homo sapiens (Human)	1514	Q9BTE3	79892
CEP112	Q8N8E3	CE112_HUMAN	reviewed	Centrosomal protein of 112 kDa (Cep112) (Coiled-coil domain-containing protein 46)	CEP112 CCDC46	Homo sapiens (Human)	955	P98088	4586
RIOK3	O14730	RIOK3_HUMAN	reviewed	Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog)	RIOK3 SUDD	Homo sapiens (Human)	519	Q9Y4W2	81887
TECR	Q9NZ01	TECR_HUMAN	reviewed	"Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER)"	TECR GPSN2 SC2	Homo sapiens (Human)	308	Q86XU0	342926
ARHGEF1	Q92888	ARHG1_HUMAN	reviewed	Rho guanine nucleotide exchange factor 1 (115 kDa guanine nucleotide exchange factor) (p115-RhoGEF) (p115RhoGEF) (Sub1.5)	ARHGEF1	Homo sapiens (Human)	912	Q7Z449	113612
FRS3	O43559	FRS3_HUMAN	reviewed	Fibroblast growth factor receptor substrate 3 (FGFR substrate 3) (FGFR-signaling adaptor SNT2) (Suc1-associated neurotrophic factor target 2) (SNT-2)	FRS3	Homo sapiens (Human)	492	Q8N998	220388
HAUS7	Q99871	HAUS7_HUMAN	reviewed	HAUS augmin-like complex subunit 7 (26S proteasome-associated UCH37-interacting protein 1) (UCHL5-interacting protein) (X-linked protein STS1769)	HAUS7 UCHL5IP UIP1	Homo sapiens (Human)	368	O75179	26057
TTC16	Q8NEE8	TTC16_HUMAN	reviewed	Tetratricopeptide repeat protein 16 (TPR repeat protein 16)	TTC16	Homo sapiens (Human)	873	Q09327	4248
C1QTNF1	Q9BXJ1	C1QT1_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 1 (G protein-coupled receptor-interacting protein) (GIP)	C1QTNF1 CTRP1 UNQ310/PRO353	Homo sapiens (Human)	281	O00422	10284
DEFB104B	Q8WTQ1	D104A_HUMAN	reviewed	"Beta-defensin 104 (Beta-defensin 4) (BD-4) (DEFB-4) (hBD-4) (Defensin, beta 104)"	DEFB104A DEFB104 DEFB4; DEFB104B	Homo sapiens (Human)	72	Q6PL18	29028
GOLGA6L6	A8MZA4	GG6L6_HUMAN	reviewed	Golgin subfamily A member 6-like protein 6	GOLGA6L6	Homo sapiens (Human)	724	P63027	6844
KPRP	Q5T749	KPRP_HUMAN	reviewed	Keratinocyte proline-rich protein (hKPRP)	KPRP C1orf45	Homo sapiens (Human)	579	Q14165	9761
ESX1	Q8N693	ESX1_HUMAN	reviewed	"Homeobox protein ESX1 (Extraembryonic, spermatogenesis, homeobox 1) [Cleaved into: Homeobox protein ESX1-N; Homeobox protein ESX1-C]"	ESX1 ESX1L ESX1R	Homo sapiens (Human)	406	Q9Y2S7	26073
CENPF	P49454	CENPF_HUMAN	reviewed	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	Homo sapiens (Human)	3114	P08311	1511
GRM1	Q13255	GRM1_HUMAN	reviewed	Metabotropic glutamate receptor 1 (mGluR1)	GRM1 GPRC1A MGLUR1	Homo sapiens (Human)	1194	P21462	2357
MST1	P26927	HGFL_HUMAN	reviewed	Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (Macrophage-stimulating protein) (MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain]	MST1 D3F15S2 DNF15S2 HGFL	Homo sapiens (Human)	711	Q9Y5F0	56123
MST1	Q13043	STK4_HUMAN	reviewed	Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]	STK4 KRS2 MST1	Homo sapiens (Human)	487	Q9P2N7	90293
KIAA1239	Q9ULI1	NWD2_HUMAN	reviewed	NACHT and WD repeat domain-containing protein 2 (Leucine-rich repeat and WD repeat-containing protein KIAA1239)	NWD2 KIAA1239	Homo sapiens (Human)	1742	Q9H1Y0	9474
UNC93B1	Q9H1C4	UN93B_HUMAN	reviewed	Protein unc-93 homolog B1 (Unc-93B1) (hUNC93B1)	UNC93B1 UNC93 UNC93B	Homo sapiens (Human)	597	P11413	2539
MDFI	Q99750	MDFI_HUMAN	reviewed	MyoD family inhibitor (Myogenic repressor I-mf)	MDFI	Homo sapiens (Human)	246	Q12816	7216
HIVEP2	P31629	ZEP2_HUMAN	reviewed	Transcription factor HIVEP2 (Human immunodeficiency virus type I enhancer-binding protein 2) (HIV-EP2) (MHC-binding protein 2) (MBP-2)	HIVEP2	Homo sapiens (Human)	2446	Q9HC21	60386
PTGDR2	Q9Y5Y4	PD2R2_HUMAN	reviewed	Prostaglandin D2 receptor 2 (Chemoattractant receptor-homologous molecule expressed on Th2 cells) (G-protein coupled receptor 44) (CD antigen CD294)	PTGDR2 CRTH2 DL1R GPR44	Homo sapiens (Human)	395	Q8WV44	90933
ANKRD42	Q8N9B4	ANR42_HUMAN	reviewed	Ankyrin repeat domain-containing protein 42	ANKRD42	Homo sapiens (Human)	389	P10451	6696
B4GALNT1	Q00973	B4GN1_HUMAN	reviewed	"Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T)"	B4GALNT1 GALGT SIAT2	Homo sapiens (Human)	533	Q9BX95	81537
CYP27B1	O15528	CP27B_HUMAN	reviewed	"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial (EC 1.14.15.18) (25-OHD-1 alpha-hydroxylase) (25-hydroxyvitamin D(3) 1-alpha-hydroxylase) (VD3 1A hydroxylase) (Calcidiol 1-monooxygenase) (Cytochrome P450 subfamily XXVIIB polypeptide 1) (Cytochrome P450C1 alpha) (Cytochrome P450VD1-alpha) (Cytochrome p450 27B1)"	CYP27B1 CYP1ALPHA CYP27B	Homo sapiens (Human)	508	O60229	8997
FGF11	Q92914	FGF11_HUMAN	reviewed	Fibroblast growth factor 11 (FGF-11) (Fibroblast growth factor homologous factor 3) (FHF-3)	FGF11 FHF3	Homo sapiens (Human)	225	Q9H2S1	3781
COPZ2	Q9P299	COPZ2_HUMAN	reviewed	Coatomer subunit zeta-2 (Zeta-2-coat protein) (Zeta-2 COP)	COPZ2	Homo sapiens (Human)	210	Q9HCC8	54857
CACNA1D	Q01668	CAC1D_HUMAN	reviewed	"Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)"	CACNA1D CACH3 CACN4 CACNL1A2 CCHL1A2	Homo sapiens (Human)	2161	P56962	55014
MUC7	Q8TAX7	MUC7_HUMAN	reviewed	Mucin-7 (MUC-7) (Apo-MG2) (Salivary mucin-7)	MUC7 MG2	Homo sapiens (Human)	377	Q6NTF7	164668
TTC17	Q96AE7	TTC17_HUMAN	reviewed	Tetratricopeptide repeat protein 17 (TPR repeat protein 17)	TTC17	Homo sapiens (Human)	1141	Q86TM3	168400
INTS4	Q96HW7	INT4_HUMAN	reviewed	Integrator complex subunit 4 (Int4)	INTS4 MSTP093	Homo sapiens (Human)	963	Q5JR98	343521
SLC22A17	Q8WUG5	S22AH_HUMAN	reviewed	Solute carrier family 22 member 17 (24p3 receptor) (24p3R) (Brain-type organic cation transporter) (Lipocalin-2 receptor) (Neutrophil gelatinase-associated lipocalin receptor) (NgalR)	SLC22A17 BOCT BOIT	Homo sapiens (Human)	538	Q13094	3937
DNER	Q8NFT8	DNER_HUMAN	reviewed	Delta and Notch-like epidermal growth factor-related receptor	DNER BET UNQ262/PRO299	Homo sapiens (Human)	737	Q6ZUK4	219623
MYADM	Q96S97	MYADM_HUMAN	reviewed	Myeloid-associated differentiation marker (Protein SB135)	MYADM UNQ553/PRO1110	Homo sapiens (Human)	322	P02795	4502
PABPC1	P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP1 PABPC2	Homo sapiens (Human)	636	P23141	1066
DUS3L	Q96G46	DUS3L_HUMAN	reviewed	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like)	DUS3L	Homo sapiens (Human)	650	Q96GE5	90576
ZNF568	Q3ZCX4	ZN568_HUMAN	reviewed	Zinc finger protein 568	ZNF568	Homo sapiens (Human)	644	Q6ZN19	284371
H1FNT	Q75WM6	H1FNT_HUMAN	reviewed	Testis-specific H1 histone (Haploid germ cell-specific nuclear protein 1) (Histone H1t2)	H1FNT HANP1	Homo sapiens (Human)	255	Q13200	5708
"MST1P9,MST1L"	Q2TV78	MST1L_HUMAN	reviewed	Putative macrophage stimulating 1-like protein (Brain rescue factor 1) (BRF-1) (Hepatocyte growth factor-like protein homolog)	MST1L D1F15S1A MST1P9 MSTP9	Homo sapiens (Human)	715	P46199	4528
